TT	PID	AT	CT	IO_D	WT	RT	TRT
15	8  	11	4 	0   	0 	0 	4
16	1  	1 	15	0   	0 	0 	15
16	1030 	2 	14	0   	0 	0 	14
25	1032 	9 	7 	0   	9 	9 	16
32	1034 	13	3 	0   	16	16	19
16	1031 	3 	13	0   	0 	0 	13
29	1033 	11	5 	0   	13	13	18
16	1030 	2 	14	0   	0 	0 	14
25	1032 	9 	7 	0   	9 	9 	16
32	1034 	13	3 	0   	16	16	19
16	1031 	3 	13	0   	0 	0 	13
29	1033 	11	5 	0   	13	13	18
20	5  	5 	9 	0   	5 	0 	15
24	2  	2 	8 	0   	14	14	22
40	1035 	16	8 	0   	16	16	24
25	1032 	9 	7 	0   	9 	9 	16
31	1037 	23	2 	0   	6 	6 	8
26	11 	16	6 	0   	4 	4 	10
26	12 	17	9 	0   	0 	0 	9
28	6  	6 	10	0   	10	3 	22
29	1033 	11	5 	0   	13	13	18
33	1039 	27	2 	0   	4 	4 	6
29	4  	4 	6 	10  	19	12	25
42	1036 	16	6 	0   	20	20	26
35	1040 	27	2 	0   	6 	6 	8
30	10 	15	4 	0   	10	2 	15
31	1037 	23	2 	0   	6 	6 	8
32	1034 	13	3 	0   	16	16	19
33	1039 	27	2 	0   	4 	4 	6
34	9  	13	8 	0   	13	0 	21
35	1040 	27	2 	0   	6 	6 	8
42	1042 	33	2 	0   	7 	7 	9
43	1043 	34	1 	0   	8 	8 	9
35	14 	21	8 	0   	5 	2 	14
36	3  	3 	20	0   	13	13	33
53	1038 	25	11	0   	17	17	28
42	1041 	29	7 	0   	6 	6 	13
40	1035 	16	8 	0   	16	16	24
41	13 	19	14	4   	6 	0 	22
42	1042 	33	2 	0   	7 	7 	9
42	1036 	16	6 	0   	20	20	26
42	1041 	29	7 	0   	6 	6 	13
48	1044 	36	6 	0   	6 	6 	12
46	1045 	39	3 	0   	4 	4 	7
43	1043 	34	1 	0   	8 	8 	9
46	1045 	39	3 	0   	4 	4 	7
50	1048 	44	2 	0   	4 	4 	6
48	1044 	36	6 	0   	6 	6 	12
58	1047 	43	5 	0   	10	10	15
50	1048 	44	2 	0   	4 	4 	6
52	1050 	48	2 	0   	2 	2 	4
51	16 	42	8 	0   	0 	0 	9
52	1050 	48	2 	0   	2 	2 	4
61	1053 	50	2 	0   	9 	9 	11
53	1038 	25	11	0   	17	17	28
56	1046 	43	10	0   	3 	3 	13
66	1049 	46	10	0   	10	10	20
59	1051 	49	7 	0   	3 	3 	10
61	1052 	50	3 	0   	8 	8 	11
56	1046 	43	10	0   	3 	3 	13
66	1049 	46	10	0   	10	10	20
59	1051 	49	7 	0   	3 	3 	10
65	1055 	55	4 	0   	6 	6 	10
58	1047 	43	5 	0   	10	10	15
66	1054 	53	5 	0   	8 	8 	13
68	1056 	56	2 	0   	10	10	12
59	1051 	49	7 	0   	3 	3 	10
65	1055 	55	4 	0   	6 	6 	10
61	1052 	50	3 	0   	8 	8 	11
61	1053 	50	2 	0   	9 	9 	11
65	1055 	55	4 	0   	6 	6 	10
73	1060 	62	3 	0   	8 	8 	11
66	1049 	46	10	0   	10	10	20
75	1057 	59	7 	0   	9 	9 	16
70	1059 	62	4 	0   	4 	4 	8
66	1054 	53	5 	0   	8 	8 	13
70	1058 	61	5 	0   	4 	4 	9
78	1062 	66	4 	0   	8 	8 	12
74	1061 	62	4 	0   	8 	8 	12
67	15 	31	15	0   	17	2 	36
68	1056 	56	2 	0   	10	10	12
70	1058 	61	5 	0   	4 	4 	9
78	1062 	66	4 	0   	8 	8 	12
70	1059 	62	4 	0   	4 	4 	8
76	1063 	69	1 	0   	6 	6 	7
73	1060 	62	3 	0   	8 	8 	11
76	1064 	70	3 	0   	3 	3 	6
73	7  	7 	35	15  	22	0 	66
74	1061 	62	4 	0   	8 	8 	12
79	1065 	71	3 	0   	5 	5 	8
75	1057 	59	7 	0   	9 	9 	16
79	1066 	72	3 	0   	4 	4 	7
76	1063 	69	1 	0   	6 	6 	7
76	1064 	70	3 	0   	3 	3 	6
82	1067 	73	3 	0   	6 	6 	9
78	1062 	66	4 	0   	8 	8 	12
79	1065 	71	3 	0   	5 	5 	8
82	1068 	76	3 	0   	3 	3 	6
